Month,BOP_AV,BOP_BB,Lives,Mortality,Lapse,PWD,RiderCharges,SurrCharges,Interest,EOP_AV,Expenses,AgentComm,IMOOverride,WholesalerOverride,BonusComp,Chargebacks,HedgeGains,NetCashflow
21,100035368.31,136524611.54,794.07326579,51067.22,27404.13,144888.89,0.00,2562.11,56917.37,99866363.32,20805.49,0.00,0.00,0.00,0.00,0.00,4120.21,-216142.69
22,99866363.32,136310433.36,793.38234751,50896.40,27373.93,144748.66,0.00,2559.29,56917.56,99697702.61,20770.35,0.00,0.00,0.00,0.00,0.00,4157.81,-215597.04
23,99697702.61,136096690.50,792.69253472,50726.17,27344.08,144608.87,0.00,2556.50,56917.76,99529384.74,20735.29,0.00,0.00,0.00,0.00,0.00,4195.76,-215052.96
24,99529384.74,135883381.88,792.00382458,50505.38,27289.39,144398.64,805105.96,2551.39,56917.95,98556451.93,20532.59,0.00,0.00,0.00,0.00,0.00,26133.49,635712.00
25,98556451.93,144449220.64,791.08242804,57599.88,47100.62,195151.35,0.00,3874.08,2835973.95,101088699.95,21060.15,0.00,0.00,0.00,0.00,0.00,352888.01,55724.85
26,101088699.95,144131576.98,790.21479887,57362.09,41696.10,194868.83,0.00,3429.55,56412.20,100847755.59,21009.95,0.00,0.00,0.00,0.00,0.00,5265.14,-285258.65
27,100847755.59,143822918.96,789.32932880,57126.21,43607.74,194590.57,0.00,3586.78,56372.50,100605216.79,20959.42,0.00,0.00,0.00,0.00,0.00,5380.31,-286781.37
28,100605216.79,143512009.36,788.44542894,56890.69,43525.57,194311.02,0.00,3580.03,56332.77,100363242.26,20909.01,0.00,0.00,0.00,0.00,0.00,5426.20,-285841.62
29,100363242.26,143201906.00,787.56309503,56656.10,43444.11,194032.39,0.00,3573.33,56293.00,100121829.32,20858.71,0.00,0.00,0.00,0.00,0.00,5472.49,-284905.29
30,100121829.32,142892606.57,786.68232285,56422.46,43363.37,193754.69,0.00,3566.68,56253.20,99880975.33,20808.54,0.00,0.00,0.00,0.00,0.00,5519.19,-283972.36
31,99880975.33,142584108.80,785.80310816,56189.74,43283.33,193477.89,0.00,3560.10,56213.36,99640677.62,20758.47,0.00,0.00,0.00,0.00,0.00,5566.31,-283042.81
32,99640677.62,142276410.38,784.92544672,55957.96,43204.00,193202.01,0.00,3553.58,56173.49,99400933.57,20708.53,0.00,0.00,0.00,0.00,0.00,5613.84,-282116.61
33,99400933.57,141969509.04,784.04933431,55727.09,43125.39,192927.05,0.00,3547.11,56133.58,99161740.51,20658.70,0.00,0.00,0.00,0.00,0.00,5661.79,-281193.75
34,99161740.51,141663402.49,783.17476666,55497.14,43047.50,192652.99,0.00,3540.70,56093.63,98923095.82,20608.98,0.00,0.00,0.00,0.00,0.00,5710.17,-280274.20
35,98923095.82,141358088.47,782.30173956,55268.10,42970.32,192379.83,0.00,3534.35,56053.65,98684996.87,20559.37,0.00,0.00,0.00,0.00,0.00,5758.98,-279357.94
36,98684996.87,141053564.70,781.43024873,54969.79,42841.79,191968.97,850701.65,3523.78,56013.62,97597004.51,20332.71,0.00,0.00,0.00,0.00,0.00,28953.32,597842.34
37,97597004.51,149145529.83,780.22197552,62875.59,73889.70,251054.34,0.00,5263.70,2814203.36,100018124.54,20837.11,0.00,0.00,0.00,0.00,0.00,351942.07,-29933.52
38,100018124.54,148716036.51,779.09496318,62554.83,65448.89,250556.94,0.00,4662.40,55384.77,99690286.25,20768.81,0.00,0.00,0.00,0.00,0.00,6832.51,-364415.76
39,99690286.25,148300964.16,777.93930441,62237.48,68529.02,250069.10,0.00,4881.82,55295.94,99359864.77,20699.97,0.00,0.00,0.00,0.00,0.00,6999.35,-366984.79
40,99359864.77,147882122.90,776.78609403,61920.45,68333.64,249578.35,0.00,4867.90,55207.08,99030371.50,20631.33,0.00,0.00,0.00,0.00,0.00,7053.24,-365419.72
41,99030371.50,147464672.78,775.63532487,61604.88,68139.84,249089.51,0.00,4854.10,55118.19,98701801.37,20562.88,0.00,0.00,0.00,0.00,0.00,7107.56,-363862.03
42,98701801.37,147048609.04,774.48698973,61290.77,67947.63,248602.56,0.00,4840.40,55029.28,98374149.29,20494.61,0.00,0.00,0.00,0.00,0.00,7162.33,-362311.67
43,98374149.29,146633926.96,773.34108142,60978.11,67756.99,248117.50,0.00,4826.82,54940.34,98047410.21,20426.54,0.00,0.00,0.00,0.00,0.00,7217.55,-360768.60
44,98047410.21,146220621.82,772.19759270,60666.89,67567.94,247634.32,0.00,4813.36,54851.37,97721579.07,20358.66,0.00,0.00,0.00,0.00,0.00,7273.21,-359232.76
45,97721579.07,145808688.90,771.05651632,60357.10,67380.47,247153.01,0.00,4800.00,54762.37,97396650.86,20290.97,0.00,0.00,0.00,0.00,0.00,7329.33,-357704.12
46,97396650.86,145398123.51,769.91784502,60048.74,67194.58,246673.57,0.00,4786.76,54673.34,97072620.55,20223.46,0.00,0.00,0.00,0.00,0.00,7385.91,-356182.62
47,97072620.55,144988920.95,768.78157146,59741.79,67010.27,246196.00,0.00,4773.63,54584.27,96749483.12,20156.14,0.00,0.00,0.00,0.00,0.00,7442.95,-354668.23
48,96749483.12,144581076.54,767.64768833,59344.90,66726.81,245498.43,907340.28,4753.44,54495.18,95520314.45,19900.07,0.00,0.00,0.00,0.00,0.00,32197.93,547343.92
49,95520314.45,152009266.07,766.34513842,67894.70,80494.57,269945.55,0.00,4865.21,2759887.59,97857002.00,20386.88,0.00,0.00,0.00,0.00,0.00,345573.90,-50802.59
50,97857002.00,151556816.59,765.12837533,67514.59,71413.78,269401.81,0.00,4316.36,53764.20,97498119.66,20312.11,0.00,0.00,0.00,0.00,0.00,6952.29,-377726.03
51,97498119.66,151120241.58,763.88004795,67138.68,74889.98,268869.37,0.00,4526.47,53656.82,97136351.98,20236.74,0.00,0.00,0.00,0.00,0.00,7131.60,-380795.63
52,97136351.98,150679235.73,762.63469243,66763.12,74649.52,268333.37,0.00,4511.93,53549.43,96775643.47,20161.59,0.00,0.00,0.00,0.00,0.00,7183.91,-379066.09
53,96775643.47,150239790.38,761.39229843,66389.38,74411.24,267799.64,0.00,4497.53,53442.04,96415987.72,20086.66,0.00,0.00,0.00,0.00,0.00,7236.65,-377345.52
54,96415987.72,149801899.72,760.15284212,66017.45,74176.33,267268.16,0.00,4483.33,53334.63,96057377.07,20011.95,0.00,0.00,0.00,0.00,0.00,7289.80,-375634.14
55,96057377.07,149365555.36,758.91629814,65647.33,73944.76,266738.92,0.00,4469.34,53227.21,95699803.93,19937.46,0.00,0.00,0.00,0.00,0.00,7343.40,-373931.74
56,95699803.93,148930748.90,757.68265333,65278.99,73715.53,266211.89,0.00,4455.48,53119.78,95343261.82,19863.18,0.00,0.00,0.00,0.00,0.00,7397.44,-372238.12
57,95343261.82,148497474.11,756.45184267,64912.42,73493.23,265687.05,0.00,4442.05,53012.32,94987739.41,19789.11,0.00,0.00,0.00,0.00,0.00,7452.09,-370556.30
58,94987739.41,148065714.68,755.22384453,64547.60,73273.92,265164.34,0.00,4428.79,52904.85,94633229.61,19715.26,0.00,0.00,0.00,0.00,0.00,7507.20,-368883.45
59,94633229.61,147635462.70,753.99862985,64184.53,73058.28,264643.74,0.00,4415.76,52797.36,94279724.66,19641.61,0.00,0.00,0.00,0.00,0.00,7562.75,-367219.38
60,94279724.66,147206708.76,752.77618353,63720.57,72731.28,263905.90,965165.25,4395.99,52689.85,92962495.51,19367.19,0.00,0.00,0.00,0.00,0.00,33909.11,554858.60
61,92962495.51,154037718.73,751.36929752,72901.95,87901.73,292339.04,0.00,4382.84,2691264.65,95196234.60,19832.55,0.00,0.00,0.00,0.00,0.00,337463.73,-76138.65
62,95196234.60,153562236.60,750.05252842,72448.70,78181.02,291736.91,0.00,3898.16,51883.22,94801853.04,19750.39,0.00,0.00,0.00,0.00,0.00,7070.49,-393622.60
63,94801853.04,153104058.23,748.70137452,72000.66,82062.43,291147.32,0.00,4091.69,51754.46,94404305.39,19667.56,0.00,0.00,0.00,0.00,0.00,7261.85,-397242.38
64,94404305.39,152640781.53,747.35363214,71553.06,81783.09,290553.79,0.00,4077.77,51625.71,94007963.41,19584.99,0.00,0.00,0.00,0.00,0.00,7312.38,-395318.39
65,94007963.41,152179221.33,746.00926574,71107.75,81508.32,289962.78,0.00,4064.07,51496.98,93612817.47,19502.67,0.00,0.00,0.00,0.00,0.00,7363.33,-393405.51
66,93612817.47,151719366.11,744.66823307,70664.71,81238.69,289374.26,0.00,4050.63,51368.25,93218857.42,19420.60,0.00,0.00,0.00,0.00,0.00,7414.77,-391503.84
67,93218857.42,151261203.09,743.33051490,70223.94,80971.95,288788.18,0.00,4037.33,51239.52,92826075.54,19338.77,0.00,0.00,0.00,0.00,0.00,7466.62,-389612.43
68,92826075.54,150804724.16,741.99607257,69785.41,80709.96,288204.52,0.00,4024.27,51110.80,92434462.18,19257.18,0.00,0.00,0.00,0.00,0.00,7518.93,-387732.04
69,92434462.18,150349917.26,740.66486665,69349.10,80452.70,287623.25,0.00,4011.44,50982.08,92044007.77,19175.83,0.00,0.00,0.00,0.00,0.00,7571.72,-385862.41
70,92044007.77,149896770.25,739.33685368,68915.01,80200.59,287044.32,0.00,3998.87,50853.36,91654702.34,19094.73,0.00,0.00,0.00,0.00,0.00,7625.02,-384003.30
71,91654702.34,149445269.94,738.01202000,68483.11,79950.70,286467.70,0.00,3986.41,50724.63,91266539.05,19013.86,0.00,0.00,0.00,0.00,0.00,7678.72,-382154.03
72,91266539.05,148995409.37,736.69033571,67938.26,79575.23,285677.48,1025304.30,3967.69,50595.91,89854671.99,18719.72,0.00,0.00,0.00,0.00,0.00,35685.63,557260.55
73,89854671.99,155208809.87,735.16617007,77777.58,96228.23,318477.99,0.00,3800.17,2606272.29,91964660.30,19159.30,0.00,0.00,0.00,0.00,0.00,327355.06,-106783.58
74,91964660.30,154710034.21,733.73712514,77235.40,85788.61,317800.69,0.00,3387.90,49706.11,91530153.81,19068.78,0.00,0.00,0.00,0.00,0.00,7180.11,-412602.25
75,91530153.81,154230125.23,732.27064048,76699.75,90112.77,317137.73,0.00,3558.67,49552.98,91092197.88,18977.54,0.00,0.00,0.00,0.00,0.00,7384.28,-416863.43
76,91092197.88,153744381.14,730.80820090,76164.68,89773.09,316470.33,0.00,3545.26,49399.91,90655644.43,18886.59,0.00,0.00,0.00,0.00,0.00,7432.05,-414682.83
77,90655644.43,153260546.39,729.34974175,75632.53,89441.06,315805.88,0.00,3532.15,49246.89,90220479.69,18795.93,0.00,0.00,0.00,0.00,0.00,7480.28,-412516.64
78,90220479.69,152778602.61,727.89524759,75103.29,89111.80,315144.31,0.00,3519.15,49093.91,89786695.06,18705.56,0.00,0.00,0.00,0.00,0.00,7528.84,-410363.27
79,89786695.06,152298541.78,726.44467071,74576.93,88788.66,314485.61,0.00,3506.39,48940.98,89354278.45,18615.47,0.00,0.00,0.00,0.00,0.00,7577.85,-408223.47
80,89354278.45,151820348.66,724.99796537,74053.44,88471.25,313829.72,0.00,3493.86,48788.10,88923218.27,18525.67,0.00,0.00,0.00,0.00,0.00,7627.29,-406096.71
81,88923218.27,151344008.72,723.55510928,73532.78,88157.07,313176.60,0.00,3481.45,48635.25,88493505.62,18436.15,0.00,0.00,0.00,0.00,0.00,7677.09,-403982.41
82,88493505.62,150869512.70,722.11608699,73014.95,87845.47,312526.22,0.00,3469.15,48482.44,88065132.26,18346.90,0.00,0.00,0.00,0.00,0.00,7727.24,-401880.47
83,88065132.26,150396852.65,720.68082849,72499.92,87542.12,311878.57,0.00,3457.17,48329.66,87638084.14,18257.93,0.00,0.00,0.00,0.00,0.00,7777.92,-399793.28
84,87638084.14,149926008.52,719.24931119,71858.94,87094.01,311022.46,1088143.98,3439.48,48176.92,86124702.19,17942.65,0.00,0.00,0.00,0.00,0.00,37526.87,554918.79
85,86124702.19,155500620.15,717.59371460,82543.79,105247.52,348705.49,0.00,3086.49,2502747.73,88087866.64,18351.64,0.00,0.00,0.00,0.00,0.00,314978.99,-143281.69
86,88087866.64,154977995.11,716.03867699,81891.39,94043.29,347931.41,0.00,2757.91,47196.07,87608438.71,18251.76,0.00,0.00,0.00,0.00,0.00,7277.56,-434963.41
87,87608438.71,154475879.03,714.44297987,81247.26,98838.83,347173.85,0.00,2898.55,47015.43,87125295.65,18151.10,0.00,0.00,0.00,0.00,0.00,7494.70,-439939.91
88,87125295.65,153967137.92,712.85214044,80603.93,98420.28,346411.27,0.00,2886.28,46834.90,86643808.80,18050.79,0.00,0.00,0.00,0.00,0.00,7538.59,-437434.54
89,86643808.80,153460532.87,711.26613283,79964.39,98005.76,345652.20,0.00,2874.13,46654.49,86163966.82,17950.83,0.00,0.00,0.00,0.00,0.00,7582.75,-434945.73
90,86163966.82,152956052.99,709.68492326,79328.61,97596.17,344896.61,0.00,2862.12,46474.19,85685757.49,17851.20,0.00,0.00,0.00,0.00,0.00,7627.20,-432473.42
91,85685757.49,152453685.50,708.10842890,78696.58,97196.80,344144.48,0.00,2850.41,46294.00,85209163.23,17751.91,0.00,0.00,0.00,0.00,0.00,7672.17,-430020.63
92,85209163.23,151953406.32,706.53662204,78068.25,96801.55,343395.70,0.00,2838.82,46113.91,84734172.83,17652.95,0.00,0.00,0.00,0.00,0.00,7717.44,-427584.13
93,84734172.83,151455204.03,704.96943141,77443.59,96415.34,342650.25,0.00,2827.50,45933.93,84260770.07,17554.33,0.00,0.00,0.00,0.00,0.00,7763.15,-425165.61
94,84260770.07,150959056.74,703.40681377,76822.59,96034.74,341908.05,0.00,2816.34,45754.05,83788942.40,17456.03,0.00,0.00,0.00,0.00,0.00,7809.22,-422763.33
95,83788942.40,150464949.66,701.84872737,76205.20,95659.45,341169.05,0.00,2805.34,45574.25,83318677.62,17358.06,0.00,0.00,0.00,0.00,0.00,7855.63,-420376.74
96,83318677.62,149972868.43,700.29510958,75447.21,95121.80,340228.18,1153214.04,2789.57,45394.55,81697271.37,17020.26,0.00,0.00,0.00,0.00,0.00,39420.54,547722.03
97,81697271.37,154889685.75,698.51168151,86470.87,112795.47,396695.19,0.00,2183.67,2377952.95,83477079.11,17391.06,0.00,0.00,0.00,0.00,0.00,299913.27,-206451.03
98,83477079.11,154352334.45,696.83310834,85682.18,101004.77,395791.46,0.00,1955.41,44298.96,82936944.26,17278.53,0.00,0.00,0.00,0.00,0.00,7215.80,-481551.19
99,82936944.26,153836780.21,695.11151839,84903.94,106142.97,394907.77,0.00,2054.89,44081.07,82393015.76,17165.21,0.00,0.00,0.00,0.00,0.00,7439.70,-487021.91
100,82393015.76,153313978.76,693.39593492,84126.92,105597.57,394018.34,0.00,2044.33,43863.41,81851092.00,17052.31,0.00,0.00,0.00,0.00,0.00,7476.31,-484040.02
101,81851092.00,152793576.35,691.68630126,83354.89,105060.46,393133.34,0.00,2033.94,43645.96,81311155.34,16939.82,0.00,0.00,0.00,0.00,0.00,7513.18,-481082.34
102,81311155.34,152275553.75,689.98253271,82587.79,104534.87,392252.73,0.00,2023.77,43428.73,80773184.92,16827.75,0.00,0.00,0.00,0.00,0.00,7550.43,-478150.29
103,80773184.92,151759884.72,688.28459628,81825.59,104014.50,391376.39,0.00,2013.70,43211.70,80237166.44,16716.08,0.00,0.00,0.00,0.00,0.00,7587.88,-475240.43
104,80237166.44,151246556.02,686.59243243,81068.24,103502.00,390504.31,0.00,2003.78,42994.88,79703082.99,16604.81,0.00,0.00,0.00,0.00,0.00,7625.65,-472352.79
105,79703082.99,150735548.80,684.90597333,80315.70,102998.31,389636.41,0.00,1994.03,42778.25,79170916.78,16493.94,0.00,0.00,0.00,0.00,0.00,7663.78,-469487.86
106,79170916.78,150226842.09,683.22516932,79567.93,102501.41,388772.61,0.00,1984.41,42561.82,78640652.24,16383.47,0.00,0.00,0.00,0.00,0.00,7702.20,-466645.05
107,78640652.24,149720418.91,681.54999496,78824.89,102008.58,387912.86,0.00,1974.87,42345.58,78112276.62,16273.39,0.00,0.00,0.00,0.00,0.00,7740.82,-463823.51
108,78112276.62,149216267.90,679.88033797,77928.01,101338.89,386865.73,1251462.48,1961.91,42129.54,76334849.14,15903.09,0.00,0.00,0.00,0.00,0.00,42058.09,570298.22
109,76334849.14,153322935.46,677.95561422,89909.69,119701.57,444946.03,0.00,1147.29,2225645.10,77904789.67,16230.16,0.00,0.00,0.00,0.00,0.00,281448.75,-267630.72
110,77904789.67,152769035.38,676.13922002,88954.42,107470.41,443878.78,0.00,1030.06,40902.58,77304358.58,16105.07,0.00,0.00,0.00,0.00,0.00,7133.60,-522709.03
111,77304358.58,152237960.79,674.27780364,88012.32,112905.66,442834.57,0.00,1082.16,40646.80,76700170.67,15979.20,0.00,0.00,0.00,0.00,0.00,7361.49,-528686.79
112,76700170.67,151699099.04,672.42379576,87072.16,112213.76,441783.94,0.00,1075.53,40391.38,76098416.67,15853.84,0.00,0.00,0.00,0.00,0.00,7389.27,-525153.32
113,76098416.67,151162945.39,670.57715560,86138.59,111528.63,440738.92,0.00,1068.97,40136.32,75499077.88,15728.97,0.00,0.00,0.00,0.00,0.00,7417.18,-521650.60
114,75499077.88,150629484.12,668.73782294,85211.56,110852.12,439699.47,0.00,1062.48,39881.60,74902133.85,15604.61,0.00,0.00,0.00,0.00,0.00,7445.25,-518178.44
115,74902133.85,150098695.60,666.90569700,84290.99,110188.90,438665.53,0.00,1056.13,39627.24,74307559.54,15480.74,0.00,0.00,0.00,0.00,0.00,7473.67,-514738.15
116,74307559.54,149570550.30,665.08072044,83376.83,109534.02,437636.96,0.00,1049.85,39373.23,73715335.10,15357.36,0.00,0.00,0.00,0.00,0.00,7502.28,-511328.21
117,73715335.10,149045028.70,663.26279233,82469.01,108892.66,436613.71,0.00,1043.71,39119.55,73125435.57,15234.47,0.00,0.00,0.00,0.00,0.00,7531.25,-507952.46
118,73125435.57,148522100.41,661.45180986,81567.47,108264.59,435595.65,0.00,1037.69,38866.22,72537836.38,15112.05,0.00,0.00,0.00,0.00,0.00,7560.51,-504609.15
119,72537836.38,148001735.05,659.64755105,80672.16,107664.83,434582.65,0.00,1031.95,38613.21,71952498.01,14990.10,0.00,0.00,0.00,0.00,0.00,7590.59,-501322.92
120,71952498.01,147483870.78,657.84989246,79608.41,106866.15,433396.91,1336260.80,1024.29,38360.53,70033722.94,14590.36,0.00,0.00,0.00,0.00,0.00,44446.11,576629.13
121,70033722.94,150819657.27,636.23459932,91303.30,2520308.18,434683.87,0.00,0.00,2029043.72,69017696.75,14378.69,0.00,0.00,0.00,0.00,0.00,285216.21,-3449443.66
122,69017696.75,145832093.25,621.82856352,87160.85,1632822.66,426797.32,0.00,0.00,18069.13,66890778.33,13935.58,0.00,0.00,0.00,0.00,0.00,22891.47,-2395028.08
123,66890778.33,142466939.53,611.67566320,84203.21,1121650.87,421197.25,0.00,0.00,17556.59,65285477.34,13601.14,0.00,0.00,0.00,0.00,0.00,16698.58,-1711950.67
124,65285477.34,140062492.46,610.31060676,82055.38,61455.19,417270.65,0.00,0.00,17182.23,64747105.79,13488.98,0.00,0.00,0.00,0.00,0.00,2832.14,-404980.11
125,64747105.79,139625172.04,608.95052646,81130.82,61143.02,416361.71,0.00,0.00,17050.28,64210720.70,13377.23,0.00,0.00,0.00,0.00,0.00,2844.13,-402726.81
126,64210720.70,139189860.41,607.59538082,80219.93,60835.01,415456.67,0.00,0.00,16919.01,63677689.60,13266.19,0.00,0.00,0.00,0.00,0.00,2856.19,-400491.08
127,63677689.60,138756542.18,606.24551651,79318.85,60535.54,414555.47,0.00,0.00,16788.07,63147271.14,13155.68,0.00,0.00,0.00,0.00,0.00,2868.49,-398276.08
128,63147271.14,138325271.91,604.90046445,78423.98,60239.85,413658.53,0.00,0.00,16657.45,62618772.07,13045.58,0.00,0.00,0.00,0.00,0.00,2880.93,-396078.99
129,62618772.07,137895953.88,603.56013250,77535.25,59954.65,412765.28,0.00,0.00,16527.15,62092172.60,12935.87,0.00,0.00,0.00,0.00,0.00,2893.57,-393908.37
130,62092172.60,137468558.56,602.22447590,76652.63,59673.45,411875.60,0.00,0.00,16397.17,61567459.60,12826.55,0.00,0.00,0.00,0.00,0.00,2906.28,-391753.26
131,61567459.60,137043069.60,600.89346566,75779.46,59394.29,410989.45,0.00,0.00,16267.51,61045274.67,12717.77,0.00,0.00,0.00,0.00,0.00,2919.04,-389613.01
132,61045274.67,136619474.91,599.56725627,74749.56,59005.35,409960.70,1234475.17,0.00,16138.20,59291163.67,12352.33,0.00,0.00,0.00,0.00,0.00,20009.47,512815.30
133,59291163.67,136197797.56,597.17285185,84016.27,154390.31,540030.27,0.00,0.00,867959.39,59391450.58,12373.22,0.00,0.00,0.00,0.00,0.00,3546.63,-674979.92
134,59391450.58,135603280.82,594.81497876,82688.14,150536.92,538298.31,0.00,0.00,15428.48,58646589.23,12218.04,0.00,0.00,0.00,0.00,0.00,3584.71,-666294.00
135,58646589.23,135017207.48,592.43816840,81375.38,152766.18,536583.97,0.00,0.00,15242.80,57902865.26,12063.10,0.00,0.00,0.00,0.00,0.00,3646.76,-665177.61
136,57902865.26,134428541.35,590.07844295,80073.04,150912.10,534870.97,0.00,0.00,15058.92,57164588.59,11909.29,0.00,0.00,0.00,0.00,0.00,3642.26,-658706.59
137,57164588.59,133844516.49,587.73532463,78789.78,149080.86,533172.43,0.00,0.00,14875.92,56431958.36,11756.66,0.00,0.00,0.00,0.00,0.00,3637.68,-652330.67
138,56431958.36,133265009.22,585.40773872,77530.67,147275.72,531487.93,0.00,0.00,14693.92,55708025.94,11605.84,0.00,0.00,0.00,0.00,0.00,3633.13,-646057.85
139,55708025.94,132689802.07,583.10456473,76300.67,145504.68,529816.16,0.00,0.00,14513.91,54994375.69,11457.16,0.00,0.00,0.00,0.00,0.00,3628.75,-639889.86
140,54994375.69,132120686.41,580.81685526,75082.42,143791.31,528167.19,0.00,0.00,14334.74,54285035.65,11309.38,0.00,0.00,0.00,0.00,0.00,3624.61,-633840.52
141,54285035.65,131555828.86,578.54356423,73876.75,142136.21,526530.81,0.00,0.00,14156.35,53580291.37,11162.56,0.00,0.00,0.00,0.00,0.00,3620.39,-627908.05
142,53580291.37,130994990.54,576.28836549,72692.43,140509.10,524905.77,0.00,0.00,13978.70,52883393.91,11017.37,0.00,0.00,0.00,0.00,0.00,3616.11,-622066.45
143,52883393.91,130438917.08,574.04730622,71522.19,138902.36,523296.34,0.00,0.00,13804.28,52192811.99,10873.50,0.00,0.00,0.00,0.00,0.00,3612.00,-616311.94
144,52192811.99,129886783.56,571.82445810,70170.67,136959.16,521567.18,1357060.99,0.00,13632.91,50153381.43,10448.62,0.00,0.00,0.00,0.00,0.00,22635.56,549180.15
145,50153381.43,129339440.35,569.43183441,78780.66,139914.73,520725.60,0.00,0.00,735494.92,50185790.05,10455.37,0.00,0.00,0.00,0.00,0.00,3265.11,-617572.64
146,50185790.05,128758410.97,567.07881137,77455.90,135666.88,519004.64,0.00,0.00,12916.25,49503080.71,10313.14,0.00,0.00,0.00,0.00,0.00,3286.30,-608409.44
147,49503080.71,128186459.15,564.70863356,76148.94,137806.72,517306.06,0.00,0.00,12748.33,48822019.80,10171.25,0.00,0.00,0.00,0.00,0.00,3341.69,-607169.62
148,48822019.80,127612348.41,562.35489523,74865.65,136323.38,515609.75,0.00,0.00,12582.04,48155141.07,10032.32,0.00,0.00,0.00,0.00,0.00,3337.95,-601475.37
149,48155141.07,127042640.35,560.02625968,73601.93,134874.90,513925.98,0.00,0.00,12416.49,47494982.71,9894.79,0.00,0.00,0.00,0.00,0.00,3334.80,-595890.03
150,47494982.71,126479110.22,557.71326749,72352.81,133536.25,512263.79,0.00,0.00,12251.69,46839406.87,9758.21,0.00,0.00,0.00,0.00,0.00,3333.35,-590635.94
151,46839406.87,125919762.30,555.41338579,71119.05,132243.22,510613.17,0.00,0.00,12087.62,46189796.16,9622.87,0.00,0.00,0.00,0.00,0.00,3332.40,-585479.29
